case_id,stage_label,snr_label,severity,instance,material_class,baseline,lineshape,bwf_g,peak_set,intensity,id_ig,lo95,hi95,sigma_stat,n_failed,redchi,aic,bic,la,n_d,true_id_ig,error,abs_error
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,False,DG,height,1.5536384327293822,1.4217788216657437,1.8384502603353075,0.10629568756268354,0,3.362745838102682,1872.7477226136227,1900.862888296033,17.764070280932327,349120967034.4118,1.7211861351708049,-0.1675477024414227,0.1675477024414227
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,False,DG,area,1.0822193334190648,1.0696127960002593,1.4263190988267316,0.09099817793595345,0,3.362745838102682,1872.7477226136227,1900.862888296033,17.764070280932327,349120967034.4118,0.9867367703802634,0.09548256303880143,0.09548256303880143
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,False,DGDp,height,2.287197178918142,1.99285381453631,2.7937249777377393,0.204307622364135,0,3.128576703110774,1817.9034397247603,1860.0761882483755,7.133729898080767,513960310250.2338,1.7211861351708049,0.5660110437473371,0.5660110437473371
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,False,DGDp,area,2.694890411173561,2.451653084374495,3.800800393164584,0.3441765561591925,0,3.128576703110774,1817.9034397247603,1860.0761882483755,7.133729898080767,513960310250.2338,0.9867367703802634,1.7081536407932976,1.7081536407932976
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,False,DGDpD3D4,height,2.287125822989879,1.9935805393438037,2.7954804649430356,0.20457006657380344,0,3.1524589655038606,1829.903439085437,1900.1913532914623,7.134020596921147,513944275727.55853,1.7211861351708049,0.5659396878190741,0.5659396878190741
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,False,DGDpD3D4,area,2.6947805991108065,2.456579421356618,3.811118862678565,0.34555212544883,0,3.1524589655038606,1829.903439085437,1900.1913532914623,7.134020596921147,513944275727.55853,0.9867367703802634,1.708043828730543,1.708043828730543
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,True,DG,height,,,,,0,3.369183533731061,1875.2715227765714,1908.0725494060498,,,1.7211861351708049,,
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,True,DG,area,,,,,0,3.369183533731061,1875.2715227765714,1908.0725494060498,,,0.9867367703802634,,
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,True,DGDp,height,,,,,0,3.1381407731735,1821.3363617298644,1868.194971200548,,,1.7211861351708049,,
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,True,DGDp,area,,,,,0,3.1381407731735,1821.3363617298644,1868.194971200548,,,0.9867367703802634,,
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,True,DGDpD3D4,height,,,,,0,3.162126572702609,1833.336364308569,1908.3101394616629,,,1.7211861351708049,,
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,lorentzian,True,DGDpD3D4,area,,,,,0,3.162126572702609,1833.336364308569,1908.3101394616629,,,0.9867367703802634,,
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,gaussian,False,DG,height,1.585385524504469,1.4773058179733436,1.8275096600699379,0.08933935645219951,0,2.6087254679018117,1669.3769638401905,1697.4921295226006,,,1.7211861351708049,-0.13580061066633586,0.13580061066633586
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,gaussian,False,DG,area,0.9822994071276223,0.9690808200528571,1.182650949693503,0.054483177069900204,0,2.6087254679018117,1669.3769638401905,1697.4921295226006,,,0.9867367703802634,-0.004437363252641102,0.004437363252641102
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,gaussian,False,DGDp,height,2.59603039941779,2.1154106323315363,4.422681498128529,0.5886003222499115,0,2.5723669847705573,1661.1063337097214,1703.2790822333366,6.864585151463391,583358794686.3931,1.7211861351708049,0.8748442642469849,0.8748442642469849
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,gaussian,False,DGDp,area,2.800550925374085,1.9126567244650068,6.99420923665133,1.296338236893372,0,2.5723669847705573,1661.1063337097214,1703.2790822333366,6.864585151463391,583358794686.3931,0.9867367703802634,1.8138141549938214,1.8138141549938214
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,gaussian,False,DGDpD3D4,height,2.5955961013857376,2.1154405526385385,4.416101335127175,0.5869140455222533,0,2.592003370249831,1673.1063325609284,1743.3942467669538,6.867173511965724,583261202771.9957,1.7211861351708049,0.8744099662149327,0.8744099662149327
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,gaussian,False,DGDpD3D4,area,2.799495347648055,1.919159615430922,7.033525540365633,1.3047091592692972,0,2.592003370249831,1673.1063325609284,1743.3942467669538,6.867173511965724,583261202771.9957,0.9867367703802634,1.8127585772677917,1.8127585772677917
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,pseudo_voigt,False,DG,height,1.5853789562043954,1.4773043200143434,1.8275013610386395,0.08933762145289548,0,2.6153048506043057,1673.3769636653378,1710.8638512418847,,,1.7211861351708049,-0.13580717896640948,0.13580717896640948
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,pseudo_voigt,False,DG,area,0.9823034765823246,0.9690875059927805,1.1826550112406498,0.054482507569644775,0,2.6153048506043057,1673.3769636653378,1710.8638512418847,,,0.9867367703802634,-0.004433293797938775,0.004433293797938775
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,pseudo_voigt,False,DGDp,height,2.5960591881332724,2.1156838056206584,4.424050981228011,0.5888799982590136,0,2.582147848805819,1667.1063340122655,1723.3366653770859,6.864359473984018,583365263851.9191,1.7211861351708049,0.8748730529624675,0.8748730529624675
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,pseudo_voigt,False,DGDp,area,2.800642998243533,1.912575060723699,6.989664819241377,1.2951997584050305,0,2.582147848805819,1667.1063340122655,1723.3366653770859,6.864359473984018,583365263851.9191,0.9867367703802634,1.8139062278632696,1.8139062278632696
tierB_stage1_blmild_snr15_i0,stage1,15,mild,0,synthetic_disordered_carbon,linear,pseudo_voigt,False,DGDpD3D4,height,2.5977727820004812,2.1164455753051454,4.394195803700465,0.5810694090202481,0,2.608597648299954,1683.1063775019595,1776.8235964433268,6.854937622340218,583750328700.6132,1.7211861351708049,0.8765866468296764,0.8765866468296764
