shift_cm-1,intensity
1000.0,0.04886321228436463
1001.0,-0.050983939998594074
1002.0,-0.11364529515069433
1003.0,0.1763486718335086
1004.0,0.18264941953949962
1005.0,0.15826795563943846
1006.0,-0.06765235621745348
1007.0,-0.05578466312096741
1008.0,-0.02349087287471502
1009.0,0.08691424852716467
1010.0,0.046030836993587274
1011.0,0.14241022569792197
1012.0,0.03881139074491151
1013.0,0.18077782739338394
1014.0,0.012515894416451376
1015.0,0.10944516171982517
1016.0,0.14051797308084826
1017.0,-0.09198425800670365
1018.0,-0.2191919999732262
1019.0,0.20676259581462395
1020.0,0.11917253450441806
1021.0,0.279025584465312
1022.0,-0.09712304243383743
1023.0,0.07952320017769171
1024.0,0.26065355431862325
1025.0,0.2714886712743418
1026.0,0.243767265140569
1027.0,-0.034063418420645995
1028.0,0.32345989206299713
1029.0,0.040233160401826076
1030.0,-0.1703309822771407
1031.0,0.15223180836120737
1032.0,0.09185299653270004
1033.0,0.11880088896378253
1034.0,0.06366793817512591
1035.0,-0.05484519726766779
1036.0,0.04909652264552912
1037.0,0.024480387829142792
1038.0,-0.12476397066599308
1039.0,0.03551226459865345
1040.0,0.10654029949226956
1041.0,-0.07617846738222202
1042.0,0.055118735379817846
1043.0,0.2385467173945791
1044.0,-0.24578115142308668
1045.0,-0.2517714621115561
1046.0,-0.09020542634076825
1047.0,-0.11874518690479094
1048.0,0.13514188634066235
1049.0,-0.2587551036943214
1050.0,0.14534629555656833
1051.0,0.017426707332492037
1052.0,0.03118279105605463
1053.0,-0.18230904797915684
1054.0,0.21741596084194442
1055.0,0.07589479798698469
1056.0,-0.005490831260620145
1057.0,-0.19285122809028446
1058.0,-0.004589648805994117
1059.0,-0.20777122098512096
1060.0,0.07184173577413289
1061.0,0.02435626629035567
1062.0,0.19662851871315232
1063.0,-0.15154584242650246
1064.0,-0.1486097982958749
1065.0,0.11781904431074675
1066.0,0.34952975477573633
1067.0,-0.007351301698963614
1068.0,0.04892322809375607
1069.0,0.07178461497420956
1070.0,-0.14046840719872689
1071.0,0.30782693593313126
1072.0,0.1101978815687413
1073.0,-0.26645282283833904
1074.0,0.10578085595619413
1075.0,0.15861860001047412
1076.0,0.09537936727386234
1077.0,-0.04420379510482362
1078.0,-0.013383553125162921
1079.0,0.25473143285501704
1080.0,0.1561846319340949
1081.0,0.1854701914415268
1082.0,0.103103142771592
1083.0,0.04925796644214135
1084.0,0.1907592924504717
1085.0,0.24865094331812765
1086.0,0.028782216139940697
1087.0,0.01216284931273473
1088.0,0.10380413649960821
1089.0,0.24097023197949707
1090.0,0.08598729309300723
1091.0,0.04737424003910731
1092.0,-0.09080565767357256
1093.0,0.11460521493696821
1094.0,0.0037670479751086353
1095.0,0.11249552487938454
1096.0,-0.06422152369434371
1097.0,-0.14603211490252135
1098.0,0.019948176689122375
1099.0,0.2042385774025931
1100.0,-0.08986396234177521
1101.0,0.012188433303615825
1102.0,0.10704118162743745
1103.0,0.34337607062431225
1104.0,0.07864921423406038
1105.0,0.06903674324746842
1106.0,0.0167390496787647
1107.0,-0.28842468834312196
1108.0,0.016390820571044917
1109.0,0.03139789913931999
1110.0,-0.09547862933764045
1111.0,0.01994617839417656
1112.0,-0.10798298925457159
1113.0,-0.07140354810577984
1114.0,-0.1252613960625955
1115.0,-0.019081844806851482
1116.0,-0.04544358194533493
1117.0,-0.06565227096388446
1118.0,0.16257831746113183
1119.0,-0.05995218315002849
1120.0,0.0034466124507396834
1121.0,-0.20936346073543946
1122.0,0.17508749017964942
1123.0,-0.09125949586624778
1124.0,0.11198088711105672
1125.0,-0.027342980953838636
1126.0,0.016593095226465245
1127.0,0.18620312055187213
1128.0,-0.1853807905189719
1129.0,-0.06484700620274672
1130.0,0.046545743748994096
1131.0,0.025899188267424003
1132.0,0.07094158091782629
1133.0,0.14172690482969325
1134.0,-0.1529302031420987
1135.0,0.1585155656657738
1136.0,0.11114111347195868
1137.0,0.4075858016833629
1138.0,-0.18090089429844303
1139.0,0.1479181923645759
1140.0,0.2806306650696935
1141.0,0.02849029637253086
1142.0,-0.11047136261788101
1143.0,0.2024326392053807
1144.0,0.06197317410080576
1145.0,-0.0034030999655850908
1146.0,-0.09760816070916839
1147.0,0.09829605198310155
1148.0,0.04421321958874918
1149.0,0.07540315519219619
1150.0,0.11260649821353139
1151.0,0.4288389023341092
1152.0,-0.06457271313560557
1153.0,-0.1987421574898634
1154.0,0.2993668393092182
1155.0,-0.011497043202602059
1156.0,0.02344801005728276
1157.0,-0.09998038788405629
1158.0,-0.024519954974478703
1159.0,-0.07351126063421994
1160.0,0.09115376874307235
1161.0,0.24762797693827962
1162.0,0.027465669535421622
