shift_cm-1,intensity
800.0,1.6329349717424537
801.0,1.5086975562623672
802.0,1.3796329195483636
803.0,1.5009477966698248
804.0,1.4278405009807673
805.0,1.3435336861751894
806.0,1.548897438778609
807.0,1.4322595441888792
808.0,1.3809227583384727
809.0,1.5031997880993566
810.0,1.411405969814325
811.0,1.4166572469322571
812.0,1.4441704958630706
813.0,1.38884899248517
814.0,1.3332249148381778
815.0,1.444241740837961
816.0,1.2837275841690252
817.0,1.4956805598743623
818.0,1.770121407764736
819.0,1.4631875654063669
820.0,1.662915172565534
821.0,1.5131982802231756
822.0,1.5267035145357222
823.0,1.4217508521768099
824.0,1.4459601999587492
825.0,1.452673768035397
826.0,1.5831425094953175
827.0,1.6031424714443188
828.0,1.3163351259976876
829.0,1.3687811140762558
830.0,1.4509514830616215
831.0,1.6574511625212307
832.0,1.4635732883101067
833.0,1.4700281646882734
834.0,1.2854475528208122
835.0,1.3592226122598527
836.0,1.4441022047885106
837.0,1.3297509923803152
838.0,1.3480357418836335
839.0,1.4573678257261504
840.0,1.4295173871273363
841.0,1.4248037246588385
842.0,1.3530976746787786
843.0,1.4547182409733719
844.0,1.1776778352103445
845.0,1.4092168822489612
846.0,1.4585137858035608
847.0,1.3489278629321497
848.0,1.4818919032026412
849.0,1.4678084137047345
850.0,1.4868537118172038
851.0,1.3588484007219832
852.0,1.5183168509425293
853.0,1.404948163931211
854.0,1.6687851670942515
855.0,1.4158125083315545
856.0,1.4159328053296212
857.0,1.3656975185215123
858.0,1.4870737720800464
859.0,1.3919330761549285
860.0,1.4382487664280812
861.0,1.4140149026656001
862.0,1.467012545165021
863.0,1.2315626873257666
864.0,1.3931025575380718
865.0,1.2788216260544396
866.0,1.3664465949348128
867.0,1.4509926128591284
868.0,1.5702428484984454
869.0,1.520812858755011
870.0,1.2880748145212122
871.0,1.3953691453240953
872.0,1.4072017209363894
873.0,1.4660766213626972
874.0,1.5239638576404078
875.0,1.4324248281541687
876.0,1.3444519519241296
877.0,1.5121643360389954
878.0,1.3078020931214898
879.0,1.481265063547118
880.0,1.405879508513565
881.0,1.4279461221553942
882.0,1.4669588081472165
883.0,1.512820555558847
